Target Distance: 50, Step Size: 2
167: (x,y) = (11.9551, -12.1183)
168: (x,y) = (13.9114, -11.7025)
169: (x,y) = (11.9626, -11.2526)
170: (x,y) = (11.0237, -9.4867)
171: (x,y) = (10.9539, -11.4855)
172: (x,y) = (10.1404, -9.65839)
173: (x,y) = (9.26366, -11.456)
174: (x,y) = (9.05461, -9.46693)
175: (x,y) = (7.5919, -8.10294)
176: (x,y) = (7.9392, -10.0726)
177: (x,y) = (9.42549, -11.4108)
178: (x,y) = (10.9349, -10.0987)
179: (x,y) = (9.96528, -11.8479)
180: (x,y) = (10.55, -9.93533)
181: (x,y) = (9.99875, -11.8578)
182: (x,y) = (8.32141, -10.7686)
183: (x,y) = (8.21674, -12.7658)
184: (x,y) = (8.59836, -14.7291)
185: (x,y) = (7.69038, -16.5111)
186: (x,y) = (6.30106, -15.0724)
187: (x,y) = (8.2816, -14.7941)
188: (x,y) = (10.1726, -14.1429)
189: (x,y) = (9.3274, -12.3303)
190: (x,y) = (11.125, -11.4536)
191: (x,y) = (12.907, -12.3616)
192: (x,y) = (14.6562, -13.3312)
193: (x,y) = (15.4055, -15.1855)
194: (x,y) = (14.6562, -13.3312)
195: (x,y) = (16.5356, -14.0152)
196: (x,y) = (17.3491, -12.1881)
197: (x,y) = (15.3494, -12.223)
198: (x,y) = (16.8121, -13.587)
199: (x,y) = (17.0558, -15.5721)
200: (x,y) = (17.7399, -17.4515)
201: (x,y) = (19.6962, -17.0357)
202: (x,y) = (18.0381, -15.9173)
203: (x,y) = (18.8196, -17.7583)
204: (x,y) = (19.3708, -15.8358)
205: (x,y) = (19.6837, -17.8112)
206: (x,y) = (17.8043, -17.1271)
207: (x,y) = (17.5953, -19.1162)
208: (x,y) = (16.2832, -17.6067)
209: (x,y) = (15.0795, -19.204)
210: (x,y) = (14.1715, -17.422)
211: (x,y) = (16.1412, -17.7693)
212: (x,y) = (18.0322, -17.1182)
213: (x,y) = (19.8142, -18.0261)
214: (x,y) = (21.8115, -18.1308)
215: (x,y) = (23.7241, -18.7156)
216: (x,y) = (25.6728, -19.1655)
217: (x,y) = (24.5835, -17.4881)
218: (x,y) = (26.0462, -18.8521)
219: (x,y) = (26.4961, -20.8009)
220: (x,y) = (27.7817, -19.2688)
221: (x,y) = (25.7845, -19.3734)
222: (x,y) = (24.8148, -21.1227)
223: (x,y) = (24.7102, -19.1254)
224: (x,y) = (23.0521, -20.2438)
225: (x,y) = (21.5894, -21.6078)
226: (x,y) = (22.1741, -19.6952)
227: (x,y) = (20.4968, -20.7845)
228: (x,y) = (19.6516, -18.9719)
229: (x,y) = (21.0658, -17.5576)
230: (x,y) = (19.9474, -15.8996)
231: (x,y) = (18.3501, -14.6959)
232: (x,y) = (16.692, -13.5776)
233: (x,y) = (18.6483, -13.9934)
234: (x,y) = (17.3897, -12.4391)
235: (x,y) = (18.876, -13.7773)
236: (x,y) = (17.512, -15.2401)
237: (x,y) = (19.4683, -15.6559)
238: (x,y) = (21.4573, -15.8649)
239: (x,y) = (22.7956, -14.3786)
240: (x,y) = (21.62, -12.7606)
241: (x,y) = (20.002, -11.585)
242: (x,y) = (21.9825, -11.3067)
243: (x,y) = (23.0424, -13.0028)
244: (x,y) = (25.0375, -12.8633)
245: (x,y) = (26.1846, -11.225)
246: (x,y) = (27.4702, -12.7571)
247: (x,y) = (27.0886, -14.7203)
248: (x,y) = (27.3323, -16.7054)
249: (x,y) = (27.4021, -14.7066)
250: (x,y) = (29.2815, -15.3907)
251: (x,y) = (27.8428, -14.0013)
252: (x,y) = (27.0294, -15.8284)
253: (x,y) = (25.0888, -16.3123)
254: (x,y) = (26.7271, -17.4594)
255: (x,y) = (27.3118, -19.372)
256: (x,y) = (28.2198, -21.1541)
257: (x,y) = (27.4383, -19.313)
258: (x,y) = (28.901, -20.677)
259: (x,y) = (29.7778, -22.4746)
260: (x,y) = (28.3151, -23.8386)
261: (x,y) = (26.3455, -24.1859)
262: (x,y) = (26.3804, -22.1862)
263: (x,y) = (24.4578, -22.7375)
264: (x,y) = (25.605, -24.3758)
265: (x,y) = (27.3542, -23.4062)
266: (x,y) = (26.4153, -25.1721)
267: (x,y) = (28.2825, -25.8888)
268: (x,y) = (26.3337, -25.4389)
269: (x,y) = (25.5845, -23.5846)
270: (x,y) = (23.8525, -22.5846)
271: (x,y) = (25.8087, -23.0004)
272: (x,y) = (27.3408, -24.286)
273: (x,y) = (26.4641, -22.4884)
274: (x,y) = (26.5339, -24.4871)
275: (x,y) = (26.1866, -22.5175)
276: (x,y) = (28.1184, -21.9999)
277: (x,y) = (26.1334, -22.2436)
278: (x,y) = (24.1361, -22.139)
279: (x,y) = (23.7545, -24.1022)
280: (x,y) = (25.2639, -22.7901)
281: (x,y) = (26.9959, -21.7901)
282: (x,y) = (26.088, -23.5721)
283: (x,y) = (26.297, -21.5831)
284: (x,y) = (24.9588, -23.0694)
285: (x,y) = (23.3007, -24.1877)
286: (x,y) = (21.4881, -25.033)
287: (x,y) = (19.6755, -25.8782)
288: (x,y) = (20.8226, -27.5165)
289: (x,y) = (18.8302, -27.3422)
290: (x,y) = (20.6846, -28.0914)
291: (x,y) = (22.3427, -26.973)
292: (x,y) = (23.732, -25.5344)
293: (x,y) = (22.3427, -24.0957)
294: (x,y) = (22.4822, -22.1005)
295: (x,y) = (23.8462, -23.5633)
296: (x,y) = (23.6024, -25.5483)
297: (x,y) = (23.6024, -23.5483)
298: (x,y) = (24.5414, -25.3142)
299: (x,y) = (23.7279, -27.1413)
300: (x,y) = (25.2822, -28.4)
301: (x,y) = (23.3017, -28.1216)
302: (x,y) = (25.2968, -28.2611)
303: (x,y) = (27.1639, -28.9779)
304: (x,y) = (28.1029, -30.7438)
305: (x,y) = (27.8245, -32.7243)
306: (x,y) = (26.7062, -31.0662)
307: (x,y) = (24.9241, -31.9742)
308: (x,y) = (23.1115, -32.8194)
309: (x,y) = (21.131, -32.5411)
310: (x,y) = (21.5468, -34.4974)
311: (x,y) = (22.6361, -32.8201)
312: (x,y) = (23.6959, -34.5162)
313: (x,y) = (24.8143, -36.1742)
314: (x,y) = (24.9886, -38.1666)
315: (x,y) = (24.9188, -36.1678)
316: (x,y) = (24.3676, -34.2453)
317: (x,y) = (22.5266, -35.0268)
318: (x,y) = (21.2679, -36.5811)
319: (x,y) = (19.2728, -36.4416)
320: (x,y) = (17.2974, -36.7544)
321: (x,y) = (18.9747, -35.6651)
322: (x,y) = (19.6588, -37.5445)
323: (x,y) = (17.7916, -38.2613)
324: (x,y) = (16.7916, -39.9933)
325: (x,y) = (17.8515, -38.2972)
326: (x,y) = (16.8818, -36.548)
327: (x,y) = (15.3058, -35.3167)
328: (x,y) = (13.8195, -36.6549)
329: (x,y) = (15.329, -35.3428)
330: (x,y) = (13.8662, -36.7068)
331: (x,y) = (14.2135, -38.6764)
332: (x,y) = (16.2026, -38.4674)
333: (x,y) = (14.7163, -37.1291)
334: (x,y) = (15.2339, -35.1972)
335: (x,y) = (16.0474, -37.0243)
336: (x,y) = (15.5975, -35.0756)
337: (x,y) = (17.5608, -34.694)
338: (x,y) = (17.0095, -32.7715)
339: (x,y) = (16.0095, -34.5035)
340: (x,y) = (15.0705, -36.2694)
341: (x,y) = (13.273, -35.3927)
342: (x,y) = (15.2426, -35.0454)
343: (x,y) = (14.8267, -37.0017)
344: (x,y) = (13.4125, -38.4159)
345: (x,y) = (11.6466, -39.3548)
346: (x,y) = (13.5954, -39.8047)
347: (x,y) = (12.5355, -41.5008)
348: (x,y) = (11.4172, -39.8427)
349: (x,y) = (9.65126, -38.9038)
350: (x,y) = (8.36568, -40.4359)
351: (x,y) = (8.67855, -42.4113)
352: (x,y) = (8.85286, -40.4189)
353: (x,y) = (7.76358, -38.7415)
354: (x,y) = (6.58801, -37.1235)
355: (x,y) = (4.99074, -35.9199)
356: (x,y) = (6.75664, -36.8588)
357: (x,y) = (7.47337, -38.726)
358: (x,y) = (6.85534, -36.8239)
359: (x,y) = (5.67977, -35.2058)
360: (x,y) = (5.43603, -33.2207)
361: (x,y) = (6.34401, -35.0027)
362: (x,y) = (4.59477, -34.0331)
363: (x,y) = (5.56439, -35.7824)
364: (x,y) = (3.7373, -36.5958)
365: (x,y) = (4.55077, -38.4229)
366: (x,y) = (6.48263, -37.9053)
367: (x,y) = (8.48141, -37.9751)
368: (x,y) = (7.60466, -36.1775)
369: (x,y) = (9.56792, -35.7959)
370: (x,y) = (10.9572, -34.3572)
371: (x,y) = (9.51856, -32.9679)
372: (x,y) = (7.67755, -33.7493)
373: (x,y) = (7.60775, -35.7481)
374: (x,y) = (6.05346, -37.0068)
375: (x,y) = (4.47743, -38.2381)
376: (x,y) = (2.52114, -37.8223)
377: (x,y) = (0.532095, -38.0313)
378: (x,y) = (-1.35894, -38.6825)
379: (x,y) = (-1.568, -36.6934)
380: (x,y) = (-0.336676, -35.1174)
381: (x,y) = (-0.987812, -33.2264)
382: (x,y) = (0.450867, -34.6157)
383: (x,y) = (2.14696, -33.5558)
384: (x,y) = (1.20802, -31.7899)
385: (x,y) = (3.1834, -31.4771)
386: (x,y) = (1.24281, -31.9609)
387: (x,y) = (2.30264, -30.2648)
388: (x,y) = (4.28774, -30.0211)
389: (x,y) = (6.27678, -30.2301)
390: (x,y) = (8.05879, -29.3222)
391: (x,y) = (8.99774, -31.0881)
392: (x,y) = (7.79411, -29.4908)
393: (x,y) = (6.06206, -28.4908)
394: (x,y) = (4.67274, -27.0521)
395: (x,y) = (6.33081, -25.9337)
396: (x,y) = (5.9492, -27.897)
397: (x,y) = (7.09635, -26.2587)
398: (x,y) = (9.07173, -25.9458)
399: (x,y) = (10.9942, -25.3945)
400: (x,y) = (10.8199, -23.4021)
401: (x,y) = (12.5343, -22.3721)
402: (x,y) = (14.1726, -23.5192)
403: (x,y) = (14.2772, -21.5219)
404: (x,y) = (12.5629, -20.4919)
405: (x,y) = (12.7372, -22.4843)
406: (x,y) = (10.7521, -22.728)
407: (x,y) = (12.0904, -21.2417)
408: (x,y) = (11.2452, -23.0543)
409: (x,y) = (13.2449, -23.0892)
410: (x,y) = (12.8976, -25.0588)
411: (x,y) = (13.5487, -26.9499)
412: (x,y) = (14.3302, -28.7909)
413: (x,y) = (13.183, -30.4292)
414: (x,y) = (11.6967, -29.0909)
415: (x,y) = (9.75612, -28.6071)
416: (x,y) = (9.3745, -30.5703)
417: (x,y) = (7.37724, -30.4657)
418: (x,y) = (6.34717, -32.18)
419: (x,y) = (7.73648, -33.6187)
420: (x,y) = (6.2044, -34.9043)
421: (x,y) = (7.91873, -33.8742)
422: (x,y) = (6.32146, -35.0778)
423: (x,y) = (6.8053, -33.1372)
424: (x,y) = (8.77492, -33.4845)
425: (x,y) = (10.7382, -33.1029)
426: (x,y) = (12.5508, -33.9481)
427: (x,y) = (13.1355, -35.8608)
428: (x,y) = (14.6898, -37.1194)
429: (x,y) = (12.9078, -36.2114)
430: (x,y) = (12.7335, -38.2038)
431: (x,y) = (11.5579, -36.5858)
432: (x,y) = (10.1686, -35.1471)
433: (x,y) = (9.07933, -36.8244)
434: (x,y) = (7.82069, -38.3787)
435: (x,y) = (6.53512, -36.8466)
436: (x,y) = (8.44773, -36.2619)
437: (x,y) = (8.44773, -34.2619)
438: (x,y) = (9.78599, -35.7482)
439: (x,y) = (8.44773, -34.2619)
440: (x,y) = (7.2441, -32.6646)
441: (x,y) = (5.2441, -32.6646)
442: (x,y) = (4.96575, -30.6841)
443: (x,y) = (3.16816, -29.8073)
444: (x,y) = (2.10832, -31.5034)
445: (x,y) = (1.04849, -29.8073)
446: (x,y) = (2.93952, -30.4585)
447: (x,y) = (3.00932, -28.4597)
448: (x,y) = (4.85033, -29.2412)
449: (x,y) = (3.15424, -30.301)
450: (x,y) = (1.28707, -31.0177)
451: (x,y) = (3.23582, -30.5678)
452: (x,y) = (1.23582, -30.5678)
453: (x,y) = (1.68572, -32.5166)
454: (x,y) = (1.82523, -30.5214)
455: (x,y) = (2.20685, -28.5582)
456: (x,y) = (2.41591, -30.5472)
457: (x,y) = (4.41469, -30.617)
458: (x,y) = (5.25992, -28.8044)
459: (x,y) = (3.38054, -28.1204)
460: (x,y) = (1.68444, -27.0605)
461: (x,y) = (3.0227, -25.5742)
462: (x,y) = (4.55479, -24.2887)
463: (x,y) = (4.17317, -26.2519)
464: (x,y) = (4.55479, -24.2887)
465: (x,y) = (4.10489, -22.3399)
466: (x,y) = (4.2444, -24.3351)
467: (x,y) = (5.77649, -23.0495)
468: (x,y) = (6.19231, -21.0932)
469: (x,y) = (4.4103, -20.1852)
470: (x,y) = (6.33283, -20.7365)
471: (x,y) = (8.28912, -21.1523)
472: (x,y) = (8.25422, -23.152)
473: (x,y) = (9.7863, -21.8664)
474: (x,y) = (10.0647, -23.847)
475: (x,y) = (8.94626, -25.505)
476: (x,y) = (8.46242, -27.4456)
477: (x,y) = (9.63799, -25.8276)
478: (x,y) = (8.1059, -27.1132)
479: (x,y) = (8.21057, -29.1104)
480: (x,y) = (7.79475, -27.1541)
481: (x,y) = (7.86455, -29.1529)
482: (x,y) = (9.78707, -29.7042)
483: (x,y) = (9.26944, -31.636)
484: (x,y) = (7.31314, -31.2202)
485: (x,y) = (6.7955, -33.1521)
486: (x,y) = (8.57752, -32.2441)
487: (x,y) = (10.4447, -32.9608)
488: (x,y) = (12.3765, -32.4432)
489: (x,y) = (11.2872, -34.1205)
490: (x,y) = (9.34666, -34.6044)
491: (x,y) = (11.2692, -34.0531)
492: (x,y) = (13.2543, -34.2968)
493: (x,y) = (11.2543, -34.2968)
494: (x,y) = (13.2106, -33.881)
495: (x,y) = (11.2133, -33.7763)
496: (x,y) = (9.41572, -34.6531)
497: (x,y) = (9.34592, -36.6519)
498: (x,y) = (11.078, -37.6519)
499: (x,y) = (10.2327, -39.4645)
500: (x,y) = (9.41926, -37.6374)
501: (x,y) = (7.68721, -38.6374)
502: (x,y) = (6.15512, -39.923)
503: (x,y) = (4.64571, -41.2351)
504: (x,y) = (2.81861, -40.4216)
505: (x,y) = (4.07726, -38.8673)
506: (x,y) = (3.8682, -40.8564)
507: (x,y) = (4.21549, -38.8867)
508: (x,y) = (5.06073, -40.6994)
509: (x,y) = (6.77507, -39.6693)
510: (x,y) = (4.83447, -39.1854)
511: (x,y) = (2.87818, -38.7696)
512: (x,y) = (3.75492, -40.5672)
513: (x,y) = (4.23877, -42.5078)
514: (x,y) = (2.24972, -42.7169)
515: (x,y) = (4.23481, -42.4731)
516: (x,y) = (2.24972, -42.7169)
517: (x,y) = (3.82574, -41.4855)
518: (x,y) = (4.27564, -43.4343)
519: (x,y) = (6.21624, -42.9504)
520: (x,y) = (7.67894, -44.3144)
521: (x,y) = (5.69841, -44.0361)
522: (x,y) = (7.56557, -44.7528)
523: (x,y) = (8.92957, -46.2155)
524: (x,y) = (7.02745, -45.5975)
525: (x,y) = (5.0956, -45.0798)
526: (x,y) = (5.0258, -47.0786)
527: (x,y) = (5.64384, -48.9807)
528: (x,y) = (5.9567, -50.9561)
After 529 steps, the subject has the following location:
(x,y) = (5.9567, -50.9561)
 or
(m,a) = (51.3031, -83.3325)
Average outward distance per step = 0.0969813
Target Distance: 50, Step Size: 2
0: (x,y) = (-0.517638, 1.93185)
1: (x,y) = (1.47962, 2.03652)
2: (x,y) = (-0.512768, 1.86221)
3: (x,y) = (0.949939, 3.22621)
4: (x,y) = (2.56797, 2.05064)
5: (x,y) = (0.636121, 1.533)
6: (x,y) = (2.63125, 1.67251)
7: (x,y) = (1.19257, 3.06183)
8: (x,y) = (2.88867, 2.00199)
9: (x,y) = (4.27798, 3.44067)
10: (x,y) = (2.63968, 4.58782)
11: (x,y) = (2.84874, 6.57687)
12: (x,y) = (4.72812, 7.26091)
13: (x,y) = (6.72782, 7.29581)
14: (x,y) = (6.62314, 9.29307)
15: (x,y) = (6.3448, 7.31254)
16: (x,y) = (8.34358, 7.24274)
17: (x,y) = (9.06032, 9.1099)
18: (x,y) = (7.11972, 9.59374)
19: (x,y) = (5.38767, 10.5937)
20: (x,y) = (6.67325, 9.06165)
21: (x,y) = (6.63834, 7.06196)
22: (x,y) = (4.65781, 6.78361)
23: (x,y) = (4.20791, 8.73235)
24: (x,y) = (3.17783, 7.01802)
25: (x,y) = (1.21458, 6.6364)
26: (x,y) = (-0.481521, 5.57656)
27: (x,y) = (1.31607, 4.69982)
28: (x,y) = (-0.481521, 5.57656)
29: (x,y) = (-1.62867, 3.93826)
30: (x,y) = (0.327621, 3.52243)
31: (x,y) = (2.04196, 2.49236)
32: (x,y) = (2.04196, 4.49236)
33: (x,y) = (2.45778, 6.44865)
34: (x,y) = (4.07581, 5.27308)
35: (x,y) = (2.73755, 3.78679)
36: (x,y) = (3.51901, 1.94578)
37: (x,y) = (5.51871, 1.91088)
38: (x,y) = (4.93397, 3.82349)
39: (x,y) = (4.65562, 1.84295)
40: (x,y) = (2.76458, 2.49409)
41: (x,y) = (3.76458, 4.22614)
42: (x,y) = (4.04293, 6.20667)
43: (x,y) = (5.3285, 4.67458)
44: (x,y) = (3.50141, 3.86111)
45: (x,y) = (5.17875, 2.77183)
46: (x,y) = (5.38781, 0.782789)
47: (x,y) = (6.41789, -0.931545)
48: (x,y) = (4.77958, 0.215608)
49: (x,y) = (6.76468, -0.0281311)
50: (x,y) = (8.72793, 0.353487)
51: (x,y) = (7.72793, 2.08554)
52: (x,y) = (9.36623, 0.938385)
53: (x,y) = (11.3295, 1.32)
54: (x,y) = (10.3905, 3.0859)
55: (x,y) = (10.1468, 1.10081)
56: (x,y) = (8.17719, 1.4481)
57: (x,y) = (7.39573, -0.392908)
58: (x,y) = (5.75742, -1.54006)
59: (x,y) = (4.24801, -0.227942)
60: (x,y) = (3.62997, 1.67417)
61: (x,y) = (5.52101, 2.32531)
62: (x,y) = (6.91033, 0.886627)
63: (x,y) = (5.79194, -0.771448)
64: (x,y) = (7.77703, -1.01519)
65: (x,y) = (5.7819, -1.1547)
66: (x,y) = (4.36769, -2.56891)
67: (x,y) = (4.26302, -0.571654)
68: (x,y) = (5.88105, 0.603917)
69: (x,y) = (7.88105, 0.603917)
70: (x,y) = (8.97033, -1.07342)
71: (x,y) = (9.81557, -2.88604)
72: (x,y) = (11.1538, -1.39975)
73: (x,y) = (9.2313, -0.848476)
74: (x,y) = (11.1439, -0.263732)
75: (x,y) = (10.205, 1.50216)
76: (x,y) = (11.3805, -0.115871)
77: (x,y) = (12.1298, 1.7385)
78: (x,y) = (10.6911, 0.34918)
79: (x,y) = (12.6229, -0.168458)
80: (x,y) = (10.6823, 0.315385)
81: (x,y) = (9.71272, -1.43385)
82: (x,y) = (11.1754, -0.0698572)
83: (x,y) = (10.6241, -1.99238)
84: (x,y) = (9.65453, -0.243141)
85: (x,y) = (10.1044, -2.19188)
86: (x,y) = (12.085, -2.47023)
87: (x,y) = (13.3971, -0.960808)
88: (x,y) = (11.665, -1.96081)
89: (x,y) = (13.5322, -2.67754)
90: (x,y) = (12.1682, -4.14025)
91: (x,y) = (10.7789, -2.70157)
92: (x,y) = (10.8138, -0.701877)
93: (x,y) = (9.17548, 0.445276)
94: (x,y) = (10.0835, 2.22729)
95: (x,y) = (11.7978, 3.25737)
96: (x,y) = (13.6104, 2.41213)
97: (x,y) = (14.6405, 0.697794)
98: (x,y) = (14.3276, -1.27758)
99: (x,y) = (16.2297, -1.89562)
100: (x,y) = (15.1405, -3.57296)
101: (x,y) = (13.1405, -3.57296)
102: (x,y) = (13.9539, -5.40005)
103: (x,y) = (12.9239, -3.68571)
104: (x,y) = (10.9315, -3.86003)
105: (x,y) = (8.93268, -3.92982)
106: (x,y) = (10.0511, -5.5879)
107: (x,y) = (11.1982, -3.9496)
108: (x,y) = (10.8509, -5.91921)
109: (x,y) = (12.8461, -6.05872)
110: (x,y) = (11.064, -6.9667)
111: (x,y) = (10.446, -8.86882)
112: (x,y) = (8.91392, -10.1544)
113: (x,y) = (10.226, -11.6638)
114: (x,y) = (9.542, -9.78443)
115: (x,y) = (8.03258, -8.47231)
116: (x,y) = (6.03288, -8.50721)
117: (x,y) = (5.58298, -10.456)
118: (x,y) = (4.02869, -11.7146)
119: (x,y) = (2.5424, -13.0529)
120: (x,y) = (3.48134, -11.287)
121: (x,y) = (3.34183, -9.29183)
122: (x,y) = (1.39309, -9.74173)
123: (x,y) = (1.84299, -7.79299)
124: (x,y) = (0.245718, -8.99662)
125: (x,y) = (2.17757, -8.47899)
126: (x,y) = (3.94346, -7.54004)
127: (x,y) = (5.28173, -6.05375)
128: (x,y) = (4.34278, -7.81965)
129: (x,y) = (2.95347, -9.25833)
130: (x,y) = (4.34278, -10.697)
131: (x,y) = (4.75861, -8.74071)
132: (x,y) = (2.78899, -9.08801)
133: (x,y) = (2.57993, -11.0771)
134: (x,y) = (0.738924, -10.2956)
135: (x,y) = (-0.519717, -11.8499)
136: (x,y) = (-2.45157, -12.3675)
137: (x,y) = (-2.00167, -10.4188)
138: (x,y) = (-1.28493, -8.55162)
139: (x,y) = (-1.21513, -10.5504)
140: (x,y) = (-0.0679783, -8.9121)
141: (x,y) = (0.0715347, -10.9072)
142: (x,y) = (1.51021, -9.51791)
143: (x,y) = (3.35122, -8.73645)
144: (x,y) = (2.23284, -7.07837)
145: (x,y) = (1.05727, -5.46034)
146: (x,y) = (3.04236, -5.2166)
147: (x,y) = (2.93769, -7.21386)
148: (x,y) = (4.44711, -5.90174)
149: (x,y) = (4.23805, -3.9127)
150: (x,y) = (2.62002, -2.73713)
151: (x,y) = (3.82365, -4.3344)
152: (x,y) = (4.50769, -2.45501)
153: (x,y) = (2.9756, -3.74059)
154: (x,y) = (3.91454, -5.50648)
155: (x,y) = (2.79616, -3.84841)
156: (x,y) = (1.85721, -5.6143)
157: (x,y) = (3.76982, -5.02956)
158: (x,y) = (4.64656, -6.82715)
159: (x,y) = (5.95868, -5.31773)
160: (x,y) = (7.95746, -5.24793)
161: (x,y) = (8.5755, -3.34582)
162: (x,y) = (8.02422, -5.26834)
163: (x,y) = (9.3098, -3.73625)
164: (x,y) = (9.3447, -5.73595)
165: (x,y) = (7.72667, -6.91152)
166: (x,y) = (6.33735, -5.47284)
167: (x,y) = (6.44202, -7.4701)
168: (x,y) = (8.20792, -8.40904)
169: (x,y) = (9.38349, -10.0271)
170: (x,y) = (7.74519, -8.87992)
171: (x,y) = (9.42253, -7.79064)
172: (x,y) = (10.9985, -9.02196)
173: (x,y) = (9.63455, -10.4847)
174: (x,y) = (10.8932, -8.93038)
175: (x,y) = (12.3319, -7.54106)
176: (x,y) = (13.9702, -6.39391)
177: (x,y) = (12.3521, -5.21834)
178: (x,y) = (14.2927, -4.7345)
179: (x,y) = (13.3848, -6.51651)
180: (x,y) = (12.0992, -8.0486)
181: (x,y) = (10.1866, -8.63334)
182: (x,y) = (12.179, -8.45903)
183: (x,y) = (13.3261, -10.0973)
184: (x,y) = (14.4733, -8.45903)
185: (x,y) = (15.8626, -9.89771)
186: (x,y) = (13.922, -10.3816)
187: (x,y) = (15.4083, -9.04329)
188: (x,y) = (16.0923, -10.9227)
189: (x,y) = (14.8337, -12.477)
190: (x,y) = (12.9927, -13.2584)
191: (x,y) = (14.224, -14.8345)
192: (x,y) = (14.0845, -12.8393)
193: (x,y) = (12.1149, -12.492)
194: (x,y) = (10.3173, -11.6153)
195: (x,y) = (8.74125, -12.8466)
196: (x,y) = (6.97536, -11.9077)
197: (x,y) = (5.33705, -13.0548)
198: (x,y) = (6.24503, -11.2728)
199: (x,y) = (7.84231, -10.0692)
200: (x,y) = (7.06084, -8.22817)
201: (x,y) = (8.57026, -9.54028)
202: (x,y) = (8.46559, -11.5375)
203: (x,y) = (6.55298, -10.9528)
204: (x,y) = (6.55298, -12.9528)
205: (x,y) = (4.63046, -12.4015)
206: (x,y) = (5.80603, -10.7835)
207: (x,y) = (6.25593, -8.83475)
208: (x,y) = (8.24102, -9.07849)
209: (x,y) = (6.44343, -9.95523)
210: (x,y) = (5.99353, -11.904)
211: (x,y) = (4.02392, -12.2513)
212: (x,y) = (5.66222, -13.3984)
213: (x,y) = (6.53896, -11.6008)
214: (x,y) = (5.12475, -13.015)
215: (x,y) = (7.12353, -13.0848)
216: (x,y) = (5.34152, -13.9928)
217: (x,y) = (6.28046, -15.7587)
218: (x,y) = (4.77104, -14.4466)
219: (x,y) = (6.71163, -14.9304)
220: (x,y) = (6.22779, -12.9899)
221: (x,y) = (4.25241, -12.677)
222: (x,y) = (2.76612, -11.3387)
223: (x,y) = (2.11499, -13.2298)
224: (x,y) = (3.77306, -14.3481)
225: (x,y) = (4.18889, -12.3919)
226: (x,y) = (6.16942, -12.6702)
227: (x,y) = (5.96036, -10.6812)
228: (x,y) = (7.55764, -11.8848)
229: (x,y) = (5.88029, -12.9741)
230: (x,y) = (7.75968, -13.6581)
231: (x,y) = (9.55727, -12.7814)
232: (x,y) = (11.0436, -11.4431)
233: (x,y) = (9.0463, -11.3384)
234: (x,y) = (7.40799, -10.1913)
235: (x,y) = (9.34859, -9.70743)
236: (x,y) = (7.58269, -8.76849)
237: (x,y) = (9.56778, -9.01223)
238: (x,y) = (9.88065, -10.9876)
239: (x,y) = (9.53336, -12.9572)
240: (x,y) = (8.07065, -11.5932)
241: (x,y) = (6.0816, -11.3842)
242: (x,y) = (4.08191, -11.3493)
243: (x,y) = (2.74365, -9.86297)
244: (x,y) = (4.00229, -8.30868)
245: (x,y) = (2.13513, -9.02542)
246: (x,y) = (0.385888, -9.99504)
247: (x,y) = (1.91798, -8.70946)
248: (x,y) = (3.69999, -7.80148)
249: (x,y) = (5.51261, -8.64672)
250: (x,y) = (3.68551, -7.83324)
251: (x,y) = (2.32152, -9.29595)
252: (x,y) = (0.454357, -8.57921)
253: (x,y) = (0.314844, -6.58409)
254: (x,y) = (-1.53952, -7.3333)
255: (x,y) = (-2.32099, -9.17431)
256: (x,y) = (-0.372246, -8.72441)
257: (x,y) = (-0.856089, -6.78381)
258: (x,y) = (-1.30599, -4.83507)
259: (x,y) = (-3.29504, -4.62602)
260: (x,y) = (-4.20302, -6.40803)
261: (x,y) = (-2.21397, -6.19897)
262: (x,y) = (-1.97023, -8.18407)
263: (x,y) = (0.01881, -7.97501)
264: (x,y) = (-0.498828, -6.04316)
265: (x,y) = (-1.70246, -7.64043)
266: (x,y) = (-0.471135, -6.06441)
267: (x,y) = (0.558941, -4.35007)
268: (x,y) = (-0.805056, -2.88737)
269: (x,y) = (-2.44336, -4.03452)
270: (x,y) = (-1.89209, -2.11199)
271: (x,y) = (-3.88447, -1.93768)
272: (x,y) = (-4.43575, -3.86021)
273: (x,y) = (-3.65429, -5.70122)
274: (x,y) = (-4.53103, -3.90363)
275: (x,y) = (-4.21816, -5.879)
276: (x,y) = (-3.90529, -7.85438)
277: (x,y) = (-5.83714, -7.33674)
278: (x,y) = (-4.83714, -5.60469)
279: (x,y) = (-4.52427, -3.62932)
280: (x,y) = (-5.64266, -5.28739)
281: (x,y) = (-5.85172, -3.29835)
282: (x,y) = (-4.56614, -4.83044)
283: (x,y) = (-5.98036, -3.41622)
284: (x,y) = (-7.9291, -3.86612)
285: (x,y) = (-9.75619, -3.05265)
286: (x,y) = (-11.4523, -4.11249)
287: (x,y) = (-11.3128, -6.10762)
288: (x,y) = (-10.8969, -8.06391)
289: (x,y) = (-9.38753, -6.7518)
290: (x,y) = (-11.3363, -7.2017)
291: (x,y) = (-10.7515, -5.28909)
292: (x,y) = (-10.8562, -3.29183)
293: (x,y) = (-12.0033, -4.93013)
294: (x,y) = (-10.149, -5.67935)
295: (x,y) = (-8.83686, -7.18877)
296: (x,y) = (-6.91434, -6.63749)
297: (x,y) = (-8.82695, -7.22223)
298: (x,y) = (-7.51483, -8.73165)
